ar-title;ar-title href;ar-meta href;ar-pub;ar-year;ar-cited;ar-quartile;abstract;
Komputerisasi Pengolahan Data Rekam Medis Pasien Rawat Jalan di Klinik Pratama;https://journal.iaincurup.ac.id/index.php/arcitech/article/view/3022/pdf;https://sinta.kemdikbud.go.id/journals/profile/13429?page=4#!;Arcitech: Journal of Computer Science and Artificial Intelligence Vol. 1 No. 1 (2021): June 2021 1-14;2021;DOI: 10.29240/arcitech.v1i1.3022;;Klinik pratama sebagai fasilitas layanan kesehatan tingkat pertama memiliki peranan penting dalam perawatan pasien dituntut untuk mampu mengelola data rekam medis pasien secara akurat dan efektif. Klinik Pratama dr Anton selaku objek penelitian memiliki permasalahan dalam pengelolaan data rekam medis diantaranya kunjungan pasien per hari tinggi, pencatatan dan pengolahan data rekam medis masih manual, sehingga masih banyak data yang tidak berkesinambungan dan kesulitan dalam rekapitulasi laporan. Penelitian ini bertujuan untuk menghasilkan program komputer yang mampu mengolah data rekam medis pasien rawat jalan secara efektif. Ruang lingkup penelitian ini pada pengembangan sistem informasi. Metode dalam penelitian ini meliputi pengumpulan data, pengembangan sistem dan implementasi. Penelitian bersifat kualitatif dengan metode deskriptif Pengumpulan data dilakukan dengan observasi dan wawancara. Pengembangan sistem menerapkan konsep waterfall model. Penelitian menghasilkan produk komputer pengolahan data rekam medis pasien rawat jalan. Kesimpulan penelitian ini sudah mampu menghasilkan komputerisasi pengolahan data pasien rawat jalan yang mampu menunjang pelayanan pasien rawat klinik pratama secara efektif dan efisien.;
Pemodelan Arsitektur Enterprise Sistem Informasi Rencana Kerja dan Anggaran Rumah Sakit dengan Zachman Framework;https://journal.iaincurup.ac.id/index.php/arcitech/article/view/4778/pdf;https://sinta.kemdikbud.go.id/journals/profile/13429?page=4#!;Arcitech: Journal of Computer Science and Artificial Intelligence Vol. 1 No. 1 (2021): June 2021 25-40;2021;DOI: 10.29240/arcitech.v1i1.4778;;Rumah Sakit Umum Daerah Raden Mattaher Jambi diharuskan mengajukan Rencana Kerja dan Anggaran setiap periodenya. Sebagai upaya untuk mengefisienkan proses bisnis yang terjadi, menganalisis kebutuhan data, proses, dan juga aktor yang terlibat dalam kegiatan organisasi, maka diperlukan Sistem Informasi untuk mengefisienkan proses yang terjadi, menghimpun keseluruhan data yang dibutuhkan, dan menciptakan laporan usulan. Selain itu, untuk mengurai kompleksitas proses yang terjadi maka dibutuhkan sebuah kerangka kerja yang dapat dijadikan pedoman dan acuan dalam membuat pemodelan proses bisnis organisasi. Penelitian ini memanfaatkan Zachman Framework sebagai acuan kerangka kerja yang meliputi kolom what, how, dan who serta baris dalam perspektif planner, owner, dan desainer. Dari hasil analisis yang dilakukan dengan Zachman Framework, selanjutnya dilakukan pemodelan arsitektur sistem informasi dengan memanfaatkan alat bantu berupa flowmap, use case, dan class diagram. Dengan pemodelan yang dirancang, dapat menjadi acuan pengembangan sistem informasi, mengurai kompleksitas proses, serta diketahui pihak yang terlibat dan interface sistem yang dibutuhkan.;
Rancang Bangun Aplikasi Stock Zoning & Kehilangan Barang Berbasis Web dan Android dengan Metode Waterfall (Studi Kasus: PT Aplikanusa Lintasarta);https://journal.iaincurup.ac.id/index.php/arcitech/article/view/4315/pdf;https://sinta.kemdikbud.go.id/journals/profile/13429?page=4#!;Arcitech: Journal of Computer Science and Artificial Intelligence Vol. 1 No. 1 (2021): June 2021 41-56;2021;DOI: 10.29240/arcitech.v1i1.4315;;Pada suatu kondisi bagian administrasi/admin perusahaan tersebut menemukan permasalahan tentang data pada saat diadakan pendataan, permasalahan yang timbul terkait rumitnya dalam pembuatan laporan bulanan yang terdapat duplikasi data, terjadinya kehilangan barang outlet, seleksi barang yang membutuhkan waktu yang cukup lama untuk pembuatan laporan. Tujuan penelitian ini adalah untuk merancang sistem aplikasi stock zoning dan kehilangan barang berbasis web dan android dengan metode waterfall sehingga diharapkan dapa mempermudah admin maupun teknisi dalam permasalahan administrasi khususnya dalam stock zoning dan kehilangan barang. Metode pada penelitian ini menggunakan model waterfall dan menggunakan Unified Modeling Language (UML) untuk memvisualisasikan pemodelan. Hasil yang dicapai pada penelitian ini adalah meliputi pencarian barang, dimana di dalamnya berisikan data barang/ perangkat otlet, lalu ada pengambilan barang dimana baik teknisi internal/vendor melakukan transaksi pengambilan barang ketika akan melakukan penanganan gangguan, menu pengembalian barang yang gunanya menginput data barang/perangkat kembali, terinstall, cabut serta fitur jika ada kehilangan yang dimana gunanya untuk melaporkan data barang/perangkat bilamana terjadi masalah kehilangan.;
Penerapan Data Mining Untuk Memprediksi Daya Serap Lulusan Siswa Menggunakan Algoritma Native Bayes;https://journal.iaincurup.ac.id/index.php/arcitech/article/view/3294/pdf;https://sinta.kemdikbud.go.id/journals/profile/13429?page=4#!;Arcitech: Journal of Computer Science and Artificial Intelligence Vol. 1 No. 1 (2021): June 2021 57-72;2021;DOI: 10.29240/arcitech.v1i1.3294;;Pentingnya dilakukan prediksi daya serap lulusan Sekolah Menengah Kejuruan (SMK) di dunia kerja terutama SMK Negeri 9 Muaro Jambi yang belum diketahui prediksi dunia kerja yang menerima lulusan SMK sehingga tujuan penelitian ini adalah untuk menganalisa prediksi ketepatan daya serap lulusan SMK Negeri 9 Muaro Jambi sebagai bahan acuan untuk melihat lulusan siswa SMK Negeri 9 Muaro Jambi apakah mencapai tujuan yang diharapkan atau tidak sehingga analisis ini dapat dijadikan sebagai masukan bagi sekolah untuk meningkatkan kompetensi siswa SMK. Implementasi ini dibantu dengan menggunakan aplikasi Rapidminer dan WEKA dengan input data pekerjaan alumni dengan jumlah 100 data. Atribut yang digunakan dalam proses analisis ini yaitu Jurusan, Lama Menunggu dan Bidang Pekerjaan serta Kelas Ketepatan Bidang Kerja. Proses dalam analisis ini dilakukan dengan data yang telah diberikan dengan Metode Klasifikasi Naïve Bayes untuk memprediksi daya serap lulusan. Hasil dari penelitian ini nilai accuracy tertinggi pada aplikasi Rapidminer ada pada angka 100% dan WEKA ada pada angka 100%.;
Perancangan sistem informasi antrian service motor sebagai pendataan bengkel berbasis Android (Studi kasus : M2 Motor Bogor);https://journal.iaincurup.ac.id/index.php/arcitech/article/view/4314/pdf;https://sinta.kemdikbud.go.id/journals/profile/13429?page=4#!;Arcitech: Journal of Computer Science and Artificial Intelligence Vol. 1 No. 2 (2021): December 2021 103-126;2021;DOI: 10.29240/arcitech.v1i2.4314;;Bengkel M2 Motor merupakan bengkel dalam proses pelayanannya dalam bidang jasa perbaikan kendaraan beroda dua dan penjualan sparepart serta komponen lainnya di M2 Motor Bogor masih dilaksanakan secara manual. Proses manual yang ada di bengkel M2 adalah pendataan stok sparepart yang masih dicatat pada buku, proses pelayanan kepada pelanggan, proses pemberian tugas kepada teknisi, dan juga pemilik bengkel masih menerima semua laporan transaksi secara manual. Penelitian ini bertujuan untuk perancangan sistem informasi antrian service motor sebagai pendataan bengkel android-based yang diharapkan agar dapat mempermudah para customer melakukan service motor dengan cara mengambil nomer antrian service terlebih dahulu melalui aplikasi ini dan customer bisa melihat status service, data biaya service dan data sparepart secara real time. Pegawai atau admin dapat mengelola invoice pembayaran, data customer,data teknisi, data service, data sparepart serta melalukan laporan bulanan untuk pemilik bengkel melalui sistem. Pemilik bengkel dapat dengan mudah mengetahui laporan bulanan, data service serta data sparepart melalui sistem. Metode penelitian untuk pengembangan sistem ini adalah menggunakan model waterfall dan Unified Modeling Language (UML) untuk memvisualisasikan pemodelan.;
Aplikasi ChatBot Sistem Parental Control berbasis IOT;https://journal.iaincurup.ac.id/index.php/arcitech/article/view/4316/pdf;https://sinta.kemdikbud.go.id/journals/profile/13429?page=4#!;Arcitech: Journal of Computer Science and Artificial Intelligence Vol. 1 No. 2 (2021): December 2021 127-138;2021;DOI: 10.29240/arcitech.v1i2.4316;;Semakin banyaknya jumlah pengguna internet seiring dengan perkembangan teknologi yang semakin meningkat maka pengguna layanan webiste saat ini telah dimanfaatkan oleh siapa saja serta disemua bidang. Beragam situs tentang pendidikan, hiburan, mistis bahkan sampai adegan kekerasan dan pornografi menjadi hal yang tidak mungkin tidak di temukan di internet. Semakin banyak situs yang kurang mendidik pada saat ini membuat para orang tua harus lebih hati-hati dan bijak dalam mengawasi anak-anaknya yang masih di bawah 17 tahun dalam menggunakan fasilitas internet. Dalam penelitian ini akan di rancang dan di bangun system parental control yang memanfaatkan proxy server pada sebuah jaringan yang nantinya dapat di implementasikan pada sebuah jaringan internet di rumah. Jenis penelitian pada penelitian in adalah Reseach and development untuk melakukan pengembangan sistem. Dengan adanya system ini, di harapkan orang tua dapat lebih tenang di tempat kerja atau di luar rumah dan anak-anak nya dapat terpantau semua aktifitasnya di internet dari yang kurang layak untuk di kunjungi oleh: sang anak.;
Rancang Bangun Aplikasi Virtual Tour Berbasis Android untuk Pariwisata Pulau Belitung sebagai Media Informasi;https://journal.iaincurup.ac.id/index.php/arcitech/article/view/4318/pdf;https://sinta.kemdikbud.go.id/journals/profile/13429?page=4#!;Arcitech: Journal of Computer Science and Artificial Intelligence Vol. 1 No. 2 (2021): December 2021 139-150;2021;DOI: 10.29240/arcitech.v1i2.4318;;﻿Teknologi Informasi diharapkan menjadi solusi dalam pariwisata, terutama di Pulau Belitung. Tujuan penelitian ini adalah untuk mempermudah wisatawan yang berkunjung ke Pulau Belitung dapat dengan mudah menentukan lokasi wisata yang akan dikunjungi dengan menunjukkan lokasi wisata terdekat dan juga tur virtual dari masing-masing tempat wisata yang tersedia. Metode yang digunakan dalam penelitian ini adalah Metode Multimedia Development Life Cycle (MDLC). Penelitian ini dibuat agar wisatawan dapat dengan mudah menentukan tujuan tempat wisata berdasarkan jarak dari lokasi wisata tersebut dan tur virtual yang memanfaatkan gambar 360 derajat pada aplikasi android. Pada tahap pencarian, aplikasi akan meminta akses gps untuk melihat titik awal turis. Maka sistem akan secara otomatis memberikan daftar tempat wisata yang diurutkan berdasarkan jarak terdekat dengan wisatawan. Kemudian setelah wisatawan memilih salah satu tempat wisata, aplikasi akan memunculkan detail dari tempat wisata tersebut dan bmemberikan pilihan untuk memunculkan tur virtual dari tempat wisata tersebut. Dengan penambahan tur virtual dan formula Haversine untuk menentukan jarak melalui garis bujur dan garis lintang lokasi, telah terbukti efektif dalam memberikan informasi terperinci yang dibutuhkan oleh wisatawan.;
Implementasi Sistem Informasi Reservasi Hotel Syariah di Kota Jambi Berbasis Website;https://journal.iaincurup.ac.id/index.php/arcitech/article/view/4065/pdf;https://sinta.kemdikbud.go.id/journals/profile/13429?page=4#!;Arcitech: Journal of Computer Science and Artificial Intelligence Vol. 1 No. 2 (2021): December 2021 73-82;2021;DOI: 10.29240/arcitech.v1i2.4065;;Hotel Al - Fath yang terdapat di kota Jambi adalah salah satu hotel syariah kelas melati 2 yang berada di kota Jambi , dan merupakan hotel yang sedang berkembang dan terus berupaya untuk meningkatkan layanan serta standar kualitas hotel dari berbagai sisi antara lain sisi pemanfaatan teknologi informasi . Sistem informasi Reservasi Hotel merupakan suatu sistem yang dapat menunjang tingkat kelancaran dalam melaksanakan kegiatan reservasi Hotel . Dalam penyewaan kamar sering mengalami kesalahan dalam pembuatan laporan khususnya untuk menghitung jumlah laporan yang menginap di setiap malamnya . Penelitian ini bertujuan untuk membangun Sistem Informasi Reservasi Hotel Al - Fath Jambi yang nantinya akan lebih mudah dalam mempromosikan diri dan melakukan pemasaran . Pembuatan Website ini menggunakan tools Adobe Dreamweaver CS5 , MySQL sebagai database - nya dan CSS Bootstrap agar tampilan lebih menarik dan responsive . Input dari sistem yaitu input data tamu , data jenis kamar , data booking , data kamar , data transaksi dan data foto . Adapun proses yang dilakukan pada data input yaitu proses booking , proses tamu , dan proses transaksi . Output sistem berupa informasi tentang laporan data transaksi . Hasil dari penelitian Sistem Informasi Reservasi Hotel Al - Fath Jambi dapat membantu pihak hotel dalam pengolahan data reservasi .;
Analisis dan Perancangan Feature Engineering Pada SQL Execution Plan Aplikasi Apache Spark;https://journal.iaincurup.ac.id/index.php/arcitech/article/view/4120/pdf;https://sinta.kemdikbud.go.id/journals/profile/13429?page=4#!;Arcitech: Journal of Computer Science and Artificial Intelligence Vol. 1 No. 2 (2021): December 2021 83-102;2021;DOI: 10.29240/arcitech.v1i2.4120;;Untuk memproses basis data RDBMS, sudah umum digunakan apa yang disebut dengan SQL. SQL ini bisa sederhana atau kompleks tergantung kebutuhan dan atribut tabel-tabel yang terlibat. Jika kompleks dan memberatkan sistem, maka performa dari basis data secara keseluruhan itu menjadi menurun dan eksekusi SQL tidak kunjung selesai. Untuk itulah penting untuk tahu, komponen-komponen apa saja yang terlibat saat mengeksekusi SQL melalui SQL Execution Plan. Komponen yang ada pada SQL Execution Plan bisa sangat beragam, karena itu digunakan kecerdasan buatan untuk membantu menganalisa dan menyimpulkan faktor-faktor apa yang paling berperan untuk penentuan performansi. Selanjutnya, faktor-faktor itu dihasilkan melalui proses yang disebut dengan feature engineering. Tujuan dari penelitian ini adalah merumuskan feature-feature apa saja yang ada pada SQL Execution Plan pada saat kita mengirimkan perintah SQL ke dalam sistem. Metode penelitian yang digunakan adalah model proses Prototyping.;
Analisa dan Perancangan Machine Learning Untuk Mendeteksi Kegagalan Job di Apache Spark;https://journal.iaincurup.ac.id/index.php/arcitech/article/view/4124/pdf;https://sinta.kemdikbud.go.id/journals/profile/13429?page=3#!;Arcitech: Journal of Computer Science and Artificial Intelligence Vol. 2 No. 1 (2022): June 2022 1-18;2022;DOI: 10.29240/arcitech.v2i1.4124;;Kumpulan data-data yang tersimpan di suatu database , sehingga semakin lama data yang semakin besar , karena data yang diproses berukuran sangat besar , waktu proses di Apache Spark bisa memakan waktu sampai belasan atau puluhan jam . Tidak jarang pula , akhirnya aplikasi Apache Spark tersebut bahkan mengalami kegagalan . Oleh karena itu , untuk meminimalisir adanya waktu tunggu yang sebenarnya bisa dihindari atau dikurangi , akan digunakan kecerdasan buatan melalui Machine Learning untuk mendeteksi apakah sebuah aplikasi Apache Spark akan mengalami kegagalan atau lancar . Faktor-faktor yang paling berpengaruh terhadap penentuan aplikasi tersebut disebut dengan feature dan dihasilkan melalui proses feature engineering . Tujuan dari penelitian ini adalah merancang Machine Learning sehingga mampu mengetahui feature-feature apa saja yang paling menentukan kesuksesan atau kegagalan aplikasi Apache Spark . Metode penelitian yang digunakan adalah model proses Prototyping . Hasil luaran penelitian ini adalah sebuah sistem pengelolaan basis .;
Penerapan Data Mining Untuk Memprediksi Ketersediaan Stok Produk HNI HPAI Menggunakan Algoritma C4.5;https://journal.iaincurup.ac.id/index.php/arcitech/article/view/5271/pdf;https://sinta.kemdikbud.go.id/journals/profile/13429?page=3#!;Arcitech: Journal of Computer Science and Artificial Intelligence Vol. 2 No. 1 (2022): June 2022 19-32;2022;DOI: 10.29240/arcitech.v2i1.5271;;Pada suatu perusahaan , ketersediaan stok ini harus diperhatikan untuk menghindari kerugian produk yang disebabkan karena expired dan juga untuk menghindari terjadinya pembatalan orderan . Data yang terdapat pada aplikasi perusahaan HPAI yang dinamakan aplikasi HSIS ini dapat dimanfaatkan dan diterapkannya data mining dalam menentukan produk-produk apa saja yang laris dalam kehidupan sehari-hari . Untuk menjaga ketersediaan stok produk , maka tujuan penelitian ini adalah melakukan pengujian pada Agen Stok menggunakan Algoritma C4.5 untuk memprediksi agar produk yang harus dijaga ketersediaannya sesuai dengan kebutuhan customer . Metode penelitian yang digunakan dalam penelitian ini menggunakan teknik Data Mining dengan analisis menggunakan algoritma C4.5 . Diharapkan penggunaan Analisis menggunakan Algoritma C4.5 pada Agen Stok bisa mengatasi penumpukan stok dan keuangan atau modal Agen Stok dapat dimanfaatkan untuk membeli stok yang harus tersedia . Hasil dari analisa menggunakan algoritma C4.5 menyatakan bahwa meskipun harga produknya mahal namun tetap laris adalah herbs product ( produk herbal ) . Jadi dari ketiga jenis produk HNI HPAI ( Herbs product , Health food & beverage dan Cosmetic & home care ) maka yang stoknya harus dibanyakkan atau tersedia adalah Herbs Product .;
Sistem Informasi Keputusan Menentukan Menu Makanan Bagi Penderita Diabetes Menggunakan Metode Fuzzy Analytic Hierarchy Process;https://journal.iaincurup.ac.id/index.php/arcitech/article/view/5355/pdf;https://sinta.kemdikbud.go.id/journals/profile/13429?page=3#!;Arcitech: Journal of Computer Science and Artificial Intelligence Vol. 2 No. 1 (2022): June 2022 33-48;2022;DOI: 10.29240/arcitech.v2i1.5355;;Menu santapan segar untuk pengidap diabet melitus ialah sesuatu yang berarti buat menolong pengidap dalam mengendalikan kandungan gula dalam darahnya . Dari sebagian riset penyakit diabet melitus ialah salah satu penyakit yang tidak bisa dipulihkan dengan cepat . Salah satu metode penyembuhan penyakit diabet dengan mengontrol santapan yang disantap pengidap . Dengan pengaturan pola makan yang bagus , kemajuan penyakit diabet bisa dihambat . Santapan yang disantap oleh pengidap diabet wajib dicocokkan dengan jumlah kalori , agenda makan , dan jenis makanan dengan situasi badan pengidap . Input dari aplikasi yang dibentuk berbentuk patokan , subkriteria , serta informasi pengganti dan dengan output berbentuk informasi hasil saran dari ketetapan yang didapat . Sistem dibentuk dengan memakai bahasa pemrograman Borland Delphi 7 serta basisdata memakai Microsoft Acces 2007 . Sistem yang dibentuk membagikan hasil saran berbentuk informasi dari hasil kalkulasi memakai tata cara Fuzzy Analytic Hirarchy Process . Sistem pendukung ketetapan memastikan menu santapan untuk pengidap Diabet ini diprioritaskan buat membagikan menu santapan yang segar untuk pengidap Diabet .;
